0 0
1 2
2 0
3 5
4 2
5 6
6 7
7 5
8 21
9 14
10 27
11 31
12 57
13 77
14 104
15 139
16 209
17 294
18 449
19 539
20 746
21 1072
22 1505
23 2217
24 2999
25 4213
26 5894
27 7874
28 11064
29 15458
30 21837
31 29811
32 42078
33 58407
34 80506
35 113357
36 157453
37 219384
38 306232
39 424103
40 591398
41 822532
42 1148002
43 1597053
44 2222816
45 3099095
46 4314800
47 6004116
48 8358780
49 11636745
50 16209489
51 22566968
52 31415306
53 43738827
54 60903750
55 84793108
56 118063455
57 164377280
58 228932196
59 318710521
