0 0
1 2
2 0
3 5
4 3
5 5
6 6
7 8
8 8
9 17
10 18
11 20
12 37
13 56
14 76
15 93
16 142
17 212
18 305
19 396
20 528
21 718
22 1078
23 1541
24 2001
25 2859
26 3968
27 5536
28 7614
29 10966
30 14720
31 20754
32 28788
33 40056
34 55975
35 78178
36 108673
37 151411
38 209814
39 292464
40 407259
41 566898
42 789397
43 1099768
44 1529558
45 2132686
46 2962511
47 4132691
48 5759354
49 8021117
50 11159654
51 15531863
52 21632149
53 30110264
54 41936460
55 58413585
56 81295925
57 113193800
58 157583017
59 219468257
