0 486
1 529
2 605
3 679
4 792
5 795
6 901
7 985
8 1128
9 1141
10 1289
11 1429
12 1568
13 1727
14 1961
15 2057
16 2251
17 2569
18 2895
19 3204
20 3728
21 4292
22 4888
23 5332
24 6039
25 6990
26 8022
27 9108
28 10848
29 12474
30 14774
31 17789
32 21444
33 26169
34 32473
35 39874
36 49649
37 63381
38 79199
39 101547
40 129355
41 166137
42 214652
43 281971
44 368408
45 487349
46 646352
47 866692
48 1160393
49 1572493
50 2135872
51 2913012
52 3990872
53 5478322
54 7539858
55 10364417
56 14279029
57 19781590
58 27422634
59 38066492
