0 12
1 9
2 11
3 18
4 30
5 22
6 61
7 68
8 86
9 148
10 179
11 248
12 341
13 479
14 690
15 953
16 1324
17 1877
18 2561
19 3552
20 4904
21 6892
22 9621
23 13240
24 18399
25 25823
26 35944
27 49917
28 69883
29 96984
30 135256
31 188429
32 261583
33 364827
34 506709
35 707072
36 985020
37 1371035
38 1910634
39 2657279
40 3695446
41 5151751
42 7165748
43 9983959
44 13906833
45 19352959
46 26945062
47 37525934
48 52241128
49 72746734
50 101263487
51 140998157
52 196338506
53 273374821
54 380629680
55 530004318
56 737932900
57 1027439800
58 1430634312
59 1991918658
