0 90
1 129
2 158
3 255
4 340
5 464
6 698
7 939
8 1372
9 1902
10 2686
11 3851
12 5457
13 7665
14 10892
15 15373
16 21931
17 30615
18 43092
19 61135
20 86505
21 122107
22 172354
23 243902
24 343293
25 486312
26 686609
27 971271
28 1371549
29 1934062
30 2733791
31 3861588
32 5452666
33 7700870
34 10877194
35 15363313
36 21701767
37 30662854
38 43296723
39 61172595
40 86394460
41 122044124
42 172417976
43 243491450
44 343995397
45 485896566
46 686319557
47 969465657
48 1369400250
49 1934327914
50 2732216703
51 3859478736
52 5451635061
53 7700565356
54 10877084744
55 15364713300
56 21702925482
57 30656190201
58 43303556061
59 61167848687
